Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps;;;
A3205;32;1000;20; 0.1; 1687.2101808349175; 0.111917305;2529;Moy 20;1814,4
A3205;32;1000;40; 0.1; 1687.2101808349175; 0.072095825;2529;Moy 40;1834,8
A3205;32;1000;60; 0.1; 1687.2101808349175; 0.068444925;2529;Moy 60;1917,6
A3205;32;1000;80; 0.1; 1801.1620161020428; 0.06720517;2529;Moy 80;1840,8
A3205;32;1000;100; 0.1; 1862.245998475857; 0.06588881;2529;Moy 100;1833,00
A3205;32;1000;120; 0.1; 1543.739691027687; 0.066102143;2529;Moy 120;1756,10
A3205;32;1000;140; 0.1; 1675.4266391316598; 0.066015841;2529;Moy 140;1791,1
A3205;32;1000;160; 0.1; 1675.4266391316598; 0.06601681;2529;Moy 160;1741,5
A3205;32;1000;180; 0.1; 2129.725916176538; 0.07004783;2529;Moy 180;1897,7
A3205;32;1000;200; 0.1; 1853.9018281785857; 0.06622287;2529;Moy 200;1830,9
A3205;32;1000;220; 0.1; 1853.9018281785857; 0.06477754;2529;;
A3205;32;1000;240; 0.1; 1910.4848780604525; 0.065929537;2529;;
A3205;32;1000;260; 0.1; 1910.4848780604525; 0.065522751;2529;;
A3205;32;1000;280; 0.1; 1565.8624054459285; 0.066156445;2529;;
A3205;32;1000;300; 0.1; 1840.2710560987907; 0.068796439;2529;;
A3205;32;1000;20; 0.1; 1700.5886802593582; 0.066546747;2529;;
A3205;32;1000;40; 0.1; 1700.5886802593582; 0.067295837;2529;;
A3205;32;1000;60; 0.1; 1700.5886802593582; 0.067725897;2529;;
A3205;32;1000;80; 0.1; 1618.6177807237539; 0.069147954;2529;;
A3205;32;1000;100; 0.1; 1618.6177807237539; 0.067085413;2529;;
A3205;32;1000;120; 0.1; 1618.6177807237539; 0.066750383;2529;;
A3205;32;1000;140; 0.1; 1618.6177807237539; 0.066608323;2529;;
A3205;32;1000;160; 0.1; 1618.6177807237539; 0.067249777;2529;;
A3205;32;1000;180; 0.1; 1682.0160951479388; 0.065226508;2529;;
A3205;32;1000;200; 0.1; 1740.1301625208912; 0.067658988;2529;;
A3205;32;1000;220; 0.1; 1901.1718906068697; 0.063891724;2529;;
A3205;32;1000;240; 0.1; 1901.1718906068697; 0.062955484;2529;;
A3205;32;1000;260; 0.1; 1865.2902373663792; 0.065122266;2529;;
A3205;32;1000;280; 0.1; 2119.8091741841413; 0.067499957;2529;;
A3205;32;1000;300; 0.1; 1489.2218249719888; 0.066406627;2529;;
A3205;32;1000;20; 0.1; 2025.3205907366696; 0.066806626;2529;;
A3205;32;1000;40; 0.1; 2236.1438434973666; 0.068556924;2529;;
A3205;32;1000;60; 0.1; 2238.013425122474; 0.06693802;2529;;
A3205;32;1000;80; 0.1; 1757.5570864954082; 0.066038628;2529;;
A3205;32;1000;100; 0.1; 2315.601784360811; 0.06693414;2529;;
A3205;32;1000;120; 0.1; 2005.0263065861775; 0.070419224;2529;;
A3205;32;1000;140; 0.1; 2324.075367605324; 0.068624319;2529;;
A3205;32;1000;160; 0.1; 1573.9566790282784; 0.065971719;2529;;
A3205;32;1000;180; 0.1; 1721.3732893772187; 0.065823356;2529;;
A3205;32;1000;200; 0.1; 1721.3732893772187; 0.066935595;2529;;
A3205;32;1000;220; 0.1; 1721.3732893772187; 0.065772931;2529;;
A3205;32;1000;240; 0.1; 1748.0300444581296; 0.063511604;2529;;
A3205;32;1000;260; 0.1; 1748.0300444581296; 0.064458995;2529;;
A3205;32;1000;280; 0.1; 1811.9950222267387; 0.065149903;2529;;
A3205;32;1000;300; 0.1; 1811.9950222267387; 0.065153296;2529;;
