Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A4406; 44; 0; 20; 0.1;1914;2423.842478110832;0.001484602
A4406; 44; 0; 40; 0.1;1914;2423.842478110832;0.003065205
A4406; 44; 0; 60; 0.1;1961;2423.842478110832;0.006380591
A4406; 44; 0; 80; 0.1;1848;2423.842478110832;0.006142045
A4406; 44; 0; 100; 0.1;1823;2423.842478110832;0.009011372
A4406; 44; 0; 120; 0.1;1711;2423.842478110832;0.010516338
A4406; 44; 0; 140; 0.1;1715;2423.842478110832;0.012169182
A4406; 44; 0; 160; 0.1;1889;2423.842478110832;0.014774752
A4406; 44; 0; 180; 0.1;1851;2423.842478110832;0.016898868
A4406; 44; 0; 200; 0.1;1825;2423.842478110832;0.01929062
A4406; 44; 1; 20; 0.1;1767;2423.842478110832;0.002530903
A4406; 44; 1; 40; 0.1;1703;2423.842478110832;0.004982775
A4406; 44; 1; 60; 0.1;1930;2423.842478110832;0.009035615
A4406; 44; 1; 80; 0.1;1961;2423.842478110832;0.011135489
A4406; 44; 1; 100; 0.1;1930;2423.842478110832;0.015286266
A4406; 44; 1; 120; 0.1;1914;2423.842478110832;0.017873896
A4406; 44; 1; 140; 0.1;1899;2423.842478110832;0.022458127
A4406; 44; 1; 160; 0.1;1740;2423.842478110832;0.026128906
A4406; 44; 1; 180; 0.1;1844;2423.842478110832;0.02984914
A4406; 44; 1; 200; 0.1;1850;2423.842478110832;0.034663188
A4406; 44; 2; 20; 0.1;1852;2423.842478110832;0.004124596
A4406; 44; 2; 40; 0.1;1966;2423.842478110832;0.007161195
A4406; 44; 2; 60; 0.1;1865;2423.842478110832;0.012208455
A4406; 44; 2; 80; 0.1;1829;2423.842478110832;0.015761417
A4406; 44; 2; 100; 0.1;1759;2423.842478110832;0.021417646
A4406; 44; 2; 120; 0.1;1922;2423.842478110832;0.026173513
A4406; 44; 2; 140; 0.1;1801;2423.842478110832;0.029993624
A4406; 44; 2; 160; 0.1;1813;2423.842478110832;0.033907311
A4406; 44; 2; 180; 0.1;1851;2423.842478110832;0.042259292
A4406; 44; 2; 200; 0.1;1790;2423.842478110832;0.049856364
A4406; 44; 3; 20; 0.1;1996;2423.842478110832;0.004500353
A4406; 44; 3; 40; 0.1;1966;2423.842478110832;0.010492581
A4406; 44; 3; 60; 0.1;1989;2423.842478110832;0.015761416
A4406; 44; 3; 80; 0.1;1840;2423.842478110832;0.020654011
A4406; 44; 3; 100; 0.1;1860;2423.842478110832;0.02799072
A4406; 44; 3; 120; 0.1;1910;2423.842478110832;0.033394343
A4406; 44; 3; 140; 0.1;1896;2423.842478110832;0.039855903
