Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A4406;44;10000;100; 0.15;2333;2526;70.935703429
A4406;44;10000;100; 0.15;2222;2526;76.933870221
A4406;44;10000;100; 0.15;2250;2526;86.604774291
A4406;44;10000;100; 0.15;2089;2526;88.417554382
A4406;44;10000;100; 0.15;2032;2526;83.972521764
A4406;44;10000;100; 0.15;2076;2526;82.462684939
A4406;44;10000;100; 0.15;2169;2526;84.533101738
A4406;44;10000;100; 0.15;2053;2526;85.240511417
A4406;44;10000;100; 0.15;2130;2526;80.173161277
A4406;44;10000;100; 0.15;2140;2526;82.362607121
