Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps
A6009; 60; 1000; 20; 0.1; 3248.9796917336303; 0.196501342
A6009; 60; 1000; 20; 0.15; 3157.2167155809566; 0.15217757
A6009; 60; 1000; 20; 0.2; 2589.8115353946373; 0.146470918
A6009; 60; 1000; 40; 0.1; 2760.023403180603; 0.148009823
A6009; 60; 1000; 40; 0.15; 2830.8938111769694; 0.148290549
A6009; 60; 1000; 40; 0.2; 2886.0317475239053; 0.159412947
A6009; 60; 1000; 60; 0.1; 3850.0305491014537; 0.156073803
A6009; 60; 1000; 60; 0.15; 3850.0305491014537; 0.155443987
A6009; 60; 1000; 60; 0.2; 3850.0305491014537; 0.150212484
A6009; 60; 1000; 80; 0.1; 3850.0305491014537; 0.150521333
A6009; 60; 1000; 80; 0.15; 3820.2868814176118; 0.154454898
A6009; 60; 1000; 80; 0.2; 3908.6564585387023; 0.157347983
A6009; 60; 1000; 100; 0.1; 3751.0704550436085; 0.158622161
A6009; 60; 1000; 100; 0.15; 3169.919369765016; 0.140471902
A6009; 60; 1000; 100; 0.2; 3270.870455066747; 0.141044506
A6009; 60; 1000; 120; 0.1; 3683.823832453092; 0.15033515
A6009; 60; 1000; 120; 0.15; 3683.823832453092; 0.150055879
A6009; 60; 1000; 120; 0.2; 3506.206528988239; 0.159539976
A6009; 60; 1000; 140; 0.1; 3506.206528988239; 0.159304342
A6009; 60; 1000; 140; 0.15; 2894.846249673398; 0.142897108
A6009; 60; 1000; 140; 0.2; 2666.258307785931; 0.147173947
A6009; 60; 1000; 160; 0.1; 2748.757947669046; 0.145799404
A6009; 60; 1000; 160; 0.15; 2604.525885994386; 0.147870187
A6009; 60; 1000; 160; 0.2; 2604.525885994386; 0.146961584
A6009; 60; 1000; 180; 0.1; 2851.319275135725; 0.152997932
A6009; 60; 1000; 180; 0.15; 2851.319275135725; 0.153240356
A6009; 60; 1000; 180; 0.2; 2851.319275135725; 0.152155267
A6009; 60; 1000; 200; 0.1; 2851.319275135725; 0.151710662
A6009; 60; 1000; 200; 0.15; 2767.196634959344; 0.143864378
A6009; 60; 1000; 200; 0.2; 3153.7952979521183; 0.138991663
A6009; 60; 1000; 220; 0.1; 2966.7972192172656; 0.144123772
A6009; 60; 1000; 220; 0.15; 3218.8457404573583; 0.150547999
A6009; 60; 1000; 220; 0.2; 2905.6377842662096; 0.140044751
A6009; 60; 1000; 240; 0.1; 3305.6415873779188; 0.141888141
A6009; 60; 1000; 240; 0.15; 3808.5354670997986; 0.150482545
A6009; 60; 1000; 240; 0.2; 3381.838836439354; 0.142843774
A6009; 60; 1000; 260; 0.1; 3381.838836439354; 0.142545109
A6009; 60; 1000; 260; 0.15; 3381.838836439354; 0.14166996
A6009; 60; 1000; 260; 0.2; 3358.7472223471104; 0.146107282
A6009; 60; 1000; 280; 0.1; 3306.9552827578955; 0.156444227
A6009; 60; 1000; 280; 0.15; 2871.4357642180466; 0.140119418
A6009; 60; 1000; 280; 0.2; 2871.4357642180466; 0.141343658
A6009; 60; 1000; 300; 0.1; 3373.7908139992874; 0.142077231
A6009; 60; 1000; 300; 0.15; 2872.31168523559; 0.149058063
A6009; 60; 1000; 300; 0.2; 2995.1158686517483; 0.155801319
A6009; 60; 10000; 20; 0.1; 2849.524035889838; 1.442422685
A6009; 60; 10000; 20; 0.15; 3954.5633721990894; 1.496590796
A6009; 60; 10000; 20; 0.2; 3954.5633721990894; 1.499178911
A6009; 60; 10000; 40; 0.1; 2761.3100144752107; 1.395959767
A6009; 60; 10000; 40; 0.15; 2816.6710764119925; 1.42062395
A6009; 60; 10000; 40; 0.2; 2598.0199384891466; 1.475657028
A6009; 60; 10000; 60; 0.1; 2598.0199384891466; 1.473615337
A6009; 60; 10000; 60; 0.15; 3309.087851620613; 1.522691097
A6009; 60; 10000; 60; 0.2; 3309.087851620613; 1.511845548
A6009; 60; 10000; 80; 0.1; 2705.0837431191676; 1.457618284
A6009; 60; 10000; 80; 0.15; 3274.0085161241827; 1.540127661
A6009; 60; 10000; 80; 0.2; 3274.0085161241827; 1.549027518
A6009; 60; 10000; 100; 0.1; 3577.8129675542045; 1.453364719
A6009; 60; 10000; 100; 0.15; 3577.8129675542045; 1.459067494
A6009; 60; 10000; 100; 0.2; 3307.4036288677794; 1.50426205
A6009; 60; 10000; 120; 0.1; 3307.4036288677794; 1.502098177
A6009; 60; 10000; 120; 0.15; 3307.4036288677794; 1.520357527
A6009; 60; 10000; 120; 0.2; 3307.4036288677794; 1.515453296
A6009; 60; 10000; 140; 0.1; 3307.4036288677794; 1.515161903
A6009; 60; 10000; 140; 0.15; 2856.437266008818; 1.464613176
A6009; 60; 10000; 140; 0.2; 2844.7181745361977; 1.472310613
A6009; 60; 10000; 160; 0.1; 2844.7181745361977; 1.459737067
A6009; 60; 10000; 160; 0.15; 3913.6214160469067; 1.553129326
A6009; 60; 10000; 160; 0.2; 3913.6214160469062; 1.550928119
A6009; 60; 10000; 180; 0.1; 3913.6214160469067; 1.556473803
A6009; 60; 10000; 180; 0.15; 2822.592610105983; 1.48967348
A6009; 60; 10000; 180; 0.2; 3025.8325030357264; 1.536494215
A6009; 60; 10000; 200; 0.1; 2975.672265508964; 1.518158743
A6009; 60; 10000; 200; 0.15; 2921.356876678624; 1.512510757
A6009; 60; 10000; 200; 0.2; 2921.3568766786243; 1.514779843
A6009; 60; 10000; 220; 0.1; 2921.356876678624; 1.513118271
A6009; 60; 10000; 220; 0.15; 2938.608544233178; 1.473740427
A6009; 60; 10000; 220; 0.2; 2938.608544233178; 1.469002499
A6009; 60; 10000; 240; 0.1; 2938.608544233178; 1.47431982
A6009; 60; 10000; 240; 0.15; 3202.3627172067304; 1.547998187
A6009; 60; 10000; 240; 0.2; 3202.3627172067304; 1.548101944
A6009; 60; 10000; 260; 0.1; 4262.6316644190965; 1.554302656
A6009; 60; 10000; 260; 0.15; 3828.4088100251315; 1.557796951
A6009; 60; 10000; 260; 0.2; 2874.1305686500577; 1.488472513
A6009; 60; 10000; 280; 0.1; 2941.8430543128884; 1.549309699
A6009; 60; 10000; 280; 0.15; 3063.1972025669643; 1.497995884
A6009; 60; 10000; 280; 0.2; 3063.1972025669643; 1.493779167
A6009; 60; 10000; 300; 0.1; 3063.1972025669643; 1.487633728
A6009; 60; 10000; 300; 0.15; 3063.1972025669643; 1.482337739
A6009; 60; 10000; 300; 0.2; 3063.1972025669643; 1.487593
A6009; 60; 100000; 20; 0.1; 3063.1972025669643; 14.825457878
A6009; 60; 100000; 20; 0.15; 2657.3192859710703; 14.824115335
A6009; 60; 100000; 20; 0.2; 2657.3192859710703; 14.887235182
A6009; 60; 100000; 40; 0.1; 2657.3192859710703; 14.898462792
