Data; nombre client; nb generation; taille population; taux mutation; fin cout; cout dep; temps
A6509; 65; 1000; 100; 0.05;3430;3653.2974375936387;6.10681072
A6509; 65; 1000; 100; 0.1;3414;3653.2974375936387;5.936745285
A6509; 65; 1000; 100; 0.15000000000000002;3299;3653.2974375936387;5.909842786
A6509; 65; 1000; 100; 0.2;3149;3653.2974375936387;5.646581961
A6509; 65; 1000; 100; 0.05;3550;3653.2974375936387;6.002165633
A6509; 65; 1000; 100; 0.1;3373;3653.2974375936387;5.712743803
A6509; 65; 1000; 100; 0.15000000000000002;3562;3653.2974375936387;5.977188519
A6509; 65; 1000; 100; 0.2;3637;3653.2974375936387;6.180912616
A6509; 65; 1000; 100; 0.05;3439;3653.2974375936387;6.030471318
A6509; 65; 1000; 100; 0.1;3497;3653.2974375936387;6.172060949
A6509; 65; 1000; 100; 0.15000000000000002;3496;3653.2974375936387;6.031311972
A6509; 65; 1000; 100; 0.2;3425;3653.2974375936387;6.354713998
A6509; 65; 1000; 100; 0.05;3563;3653.2974375936387;6.09012855
A6509; 65; 1000; 100; 0.1;3607;3653.2974375936387;6.098512322
A6509; 65; 1000; 100; 0.15000000000000002;3657;3653.2974375936387;5.779861606
A6509; 65; 1000; 100; 0.2;3342;3653.2974375936387;5.826979928
A6509; 65; 1000; 100; 0.05;3530;3653.2974375936387;6.122440949
A6509; 65; 1000; 100; 0.1;3657;3653.2974375936387;6.303624563
A6509; 65; 1000; 100; 0.15000000000000002;3445;3653.2974375936387;6.09534717
A6509; 65; 1000; 100; 0.2;3645;3653.2974375936387;6.126602741
A6509; 65; 1000; 100; 0.05;3365;3653.2974375936387;5.736808847
A6509; 65; 1000; 100; 0.1;3357;3653.2974375936387;5.890858803
A6509; 65; 1000; 100; 0.15000000000000002;3513;3653.2974375936387;5.963943248
A6509; 65; 1000; 100; 0.2;3565;3653.2974375936387;6.083645267
A6509; 65; 1000; 100; 0.05;3383;3653.2974375936387;5.925906321
A6509; 65; 1000; 100; 0.1;3583;3653.2974375936387;5.808357925
A6509; 65; 1000; 100; 0.15000000000000002;3735;3653.2974375936387;6.267667226
A6509; 65; 1000; 100; 0.2;3598;3653.2974375936387;6.08132467
A6509; 65; 1000; 100; 0.05;3628;3653.2974375936387;5.889194755
A6509; 65; 1000; 100; 0.1;3514;3653.2974375936387;5.997000268
A6509; 65; 1000; 100; 0.15000000000000002;3586;3653.2974375936387;5.918906619
A6509; 65; 1000; 100; 0.2;3423;3653.2974375936387;6.085885087
A6509; 65; 1000; 100; 0.05;3704;3653.2974375936387;6.35775407
A6509; 65; 1000; 100; 0.1;3346;3653.2974375936387;5.918625192
A6509; 65; 1000; 100; 0.15000000000000002;3565;3653.2974375936387;6.216824164
A6509; 65; 1000; 100; 0.2;3375;3653.2974375936387;6.186863328
A6509; 65; 1000; 100; 0.05;3190;3653.2974375936387;5.842314011
A6509; 65; 1000; 100; 0.1;3119;3653.2974375936387;5.624188352
A6509; 65; 1000; 100; 0.15000000000000002;3348;3653.2974375936387;5.98993614
A6509; 65; 1000; 100; 0.2;3311;3653.2974375936387;5.807479298

